"Flash flooding in arid/semiarid regions: climatological analyses of flood-producing storms in central arizona during the north american monsoon","10.1175/JHM-D-19-0016.1"
"The role of hazard and vulnerability in modulating economic damages of inland floods in the united states using a survey-based dataset","10.3390/SU11133754"
"Recent and future changes of precipitation extremes in mainland portugal","10.1007/S00704-018-2667-2"
"Predictive capability of a high-resolution hydrometeorological forecasting framework coupling wrf cycling 3dvar and continuum","10.1175/JHM-D-18-0219.1"
"Contrasting rainfall-runoff characteristics of floods in desert and mediterranean basins","10.5194/HESS-23-2665-2019"
"Rewilding in the garden: are garden hybrid plants (cultivars) less resilient to the effects of hydrological extremes than their parent species? A case study with primula","10.1007/S11252-019-00865-7"
"Application of satellite image processing and gis-spatial modeling for mapping urban areas prone to flash floods in qena governorate, egypt","10.1016/J.JAFREARSCI.2019.05.015"
"Is there any chance for the poor to cope with extreme environmental events? Two case studies in the solomon islands","10.1016/J.WORLDDEV.2019.06.023"
"Reduced variables method for four-phase equilibrium calculations of hydrocarbon-water-co2 mixtures at a low temperature","10.1016/J.FLUID.2019.06.002"
"Oncoids and groundwater calcrete in a continental siliciclastic succession in a fault-controlled basin (early permian, northern italy)","10.1007/S10347-019-0580-5"
"Local and remote moisture sources for extreme precipitation: a study of the two catastrophic 1982 western mediterranean episodes","10.5194/HESS-23-3885-2019"
"Using nowcasting technique and data assimilation in a meteorological model to improve very short range hydrological forecasts","10.5194/HESS-23-3823-2019"
"Development of flash-flood tolerant and durable bacterial blight resistant versions of mega rice variety `swarna' through marker-assisted backcross breeding","10.1038/S41598-019-49176-Z"
"Experimental study on the influence of vegetation on the slope flow concentration time","10.1007/S11069-019-03728-8"
"A comparison review based on classifiers and regression models for the investigation of flash floods",NA
"Multi-hazard risk assessment at community level integrating local and scientific knowledge in the hodh chargui, mauritania","10.3390/SU11185063"
"Drivers of low instream large wood retention and imprints of wood mobility in mountain nonperennial streams of a mediterranean semiarid environment","10.1029/2019WR025094"
"Geomorphological landscape research and flood management in a heavily modified tyrrhenian catchment","10.3390/SU11174594"
"Challenges to deal with climate change: analysis of flash flood risk perception","10.23923/PAP.PSICOL2019.2903"
"Spatial and temporal rainfall changes in egypt","10.1007/S11356-019-06039-4"
"A geospatial approach to flash flood hazard mapping in the city of warangal, telangana, india","10.2478/ENVIRON-2019-0013"
"Remote sensing and gis contribution to a natural hazard database in western saudi arabia","10.3390/GEOSCIENCES9090380"
"Flood risk assessment of the wadi nu'man basin, mecca, saudi arabia (during the period, 1988-2019) based on the integration of geomatics and hydraulic modeling: a case study","10.3390/W11091887"
"Development of a safety-inspection method for river bridges in turkey","10.3390/W11091902"
"Flash flood risk perception by the population of mindelo, s. Vicente (cape verde)","10.3390/W11091895"
"Optimize short-term rainfall forecast with combination of ensemble precipitation nowcasts by lagrangian extrapolation","10.3390/W11091752"
"A novel hybrid extreme learning machine approach improved by k nearest neighbor method and fireworks algorithm for flood forecasting in medium and small watershed of loess region","10.3390/W11091848"
"Extracting quantitative data from non-conventional information for the hydraulic reconstruction of past urban flood events. A case study","10.1016/J.JHYDROL.2019.06.031"
"Environmental and hydraulic study of novel limestone porous weir for river aquatic life protection and treating selected contaminants","10.5004/DWT.2019.24400"
"Use of nrcs-curve number method for peak discharge estimation in sharqu elneil locality, khartoum, sudan","10.1007/S12517-019-4685-5"
"Building urban resilience and knowledge co-production in the face of weather hazards: flash floods in the monterrey metropolitan area (mexico)","10.1016/J.ENVSCI.2019.05.021"
"Urbanisation and socio-ecological challenges in high mountain towns: insights from leh (ladakh), india","10.1016/J.LANDURBPLAN.2019.04.017"
"Norms, practices, and gendered vulnerabilities in the lower teesta basin, bangladesh","10.1016/J.ENVDEV.2018.10.003"
"Assessing flood risk in baiyangdian lake area in a changing climate using an integrated hydrological-hydrodynamic modelling","10.1080/02626667.2019.1657577"
"Robust three-phase vapor-liquid-asphaltene equilibrium calculation algorithm for isothermal co2 flooding applications","10.1021/ACS.IECR.9B02740"
"Evaluating the hydraulic capacity of existing drain systems and the management challenges of stormwater in addis ababa, ethiopia","10.1016/J.EJRH.2019.100626"
"Potential of documentary evidence to study fatalities of hydrological and meteorological events in the czech republic","10.3390/W11102014"
"An operational forecasting system for flash floods in mountainous areas in taiwan","10.3390/W11102100"
"Simulation of hydraulic structures in 2d high-resolution urban flood modeling","10.3390/W11102139"
"Development of nomogram for debris flow forecasting based on critical accumulated rainfall in south korea","10.3390/W11102181"
"Flood hazard mapping using the flood and flash-flood potential index in the buzau river catchment, romania","10.3390/W11102116"
"Mapping flood-related mortality in the mediterranean basin. Results from the meff v2.0 db","10.3390/W11102196"
"Morphometric indices at different scales applied to the danger of flooding in small basins. Basin of the stream san bernardo, argentina","10.20502/RBG.V20I4.1598"
"The use of watershed geomorphic data in flash flood susceptibility zoning: a case study of the karnaphuli and sangu river basins of bangladesh","10.1007/S11069-019-03749-3"
"Prediction success of machine learning methods for flash flood susceptibility mapping in the tafresh watershed, iran","10.3390/SU11195426"
"An integrated fluvial and flash pluvial model using 2d high-resolution sub-grid and particle swarm optimization-based random forest approaches in gis","10.1007/S40747-018-0078-8"
"Sewage volume forecasting on a day-ahead basis - analysis of input variables uncertainty","10.12911/22998993/112507"
"A 500-year flood history of the arid environments of southeastern spain. The case of the almanzora river","10.1016/J.GLOPLACHA.2019.102987"
"Sensitivity of flood dynamics to different soil information sources in urbanized areas","10.1016/J.JHYDROL.2019.123945"
"Using remote sensing and gis techniques in monitoring and mitigation of geohazards in najran region, saudi arabia","10.1007/S10706-019-00861-W"
"Historical flash floods in england: new regional chronologies and database","10.1111/JFR3.12526"
"Applicability assessment of the cascade two dimensional sediment (casc2d-sed) distributed hydrological model for flood forecasting across four typical medium and small watersheds in china","10.1111/JFR3.12518"
"Impact of robustness of hydrological model parameters on flood prediction uncertainty","10.1111/JFR3.12488"
"A comparison of sac-sma and adaptive neuro-fuzzy inference system for real-time flood forecasting in small urban catchments","10.1111/JFR3.12492"
"Two-dimensional hydrodynamic modelling for urban flood risk assessment using unmanned aerial vehicle imagery: a case study of kirsehir, turkey","10.1111/JFR3.12499"
"Multidisciplinary analysis of combined flow-like mass movements in a catchment of southern italy","10.1080/17499518.2019.1674339"
"River stage forecasting using multiple additive regression trees","10.1007/S11269-019-02357-X"
"Sources and transformations of iron in the sediments of the gulf of aqaba (red sea)","10.1016/J.MARCHEM.2019.103691"
"Poverty and environmental nexus in rural pakistan: a multidimensional approach","10.1007/S10708-019-10090-6"
"Anomalies of dwellers' collective geotagged behaviors in response to rainstorms: a case study of eight cities in china using smartphone location data","10.5194/NHESS-19-2169-2019"
"An appraisal of flood events using imd, cru, and ccsm4-derived meteorological data sets over the vaigai river basin, tamil nadu (india)","10.1007/S40899-019-00325-2"
"Identification of torrential valleys using gis and a novel hybrid integration of artificial intelligence, machine learning and bivariate statistics","10.1016/J.CATENA.2019.104179"
"Hadrosaurs from canada ancha (cerro del pueblo formation, upper campanian-?Lower maastrichtian), coahuila, northeastern mexico","10.1016/J.CRETRES.2019.104199"
"Tropical cyclone-induced heavy rainfall and flow in colima, western mexico","10.1002/JOC.6393"
"The east-west division of changing precipitation in nepal","10.1002/JOC.6401"
"Environmental conditions in tt 209, luxor. The case of a theban tomb subject to periodic flooding","10.1177/0307513319885087"
"Reflectivity and velocity radar data assimilation for two flash flood events in central italy: a comparison between 3d and 4d variational methods","10.1002/QJ.3679"
"Joint sensing of bedload flux and water depth by seismic data inversion","10.1029/2019WR026072"
